# schema_version: counts_by_segment.v1
# analysis_id: 00379ad4-8ca6-40c5-bbbd-ebb75da9af43
# tool_version: unknown
# time_origin: window_start
# window_start_abs_s: 0.0
# window_end_abs_s: 0.0
# window_start_mmss: 00:00.000
# window_end_mmss: 00:00.000
# main_source: 0x241:B4b5 (MSB)
# brake_source: carState.brakePressed
# speed_source: carState.vEgo
# id_bus_map: {"0x0AF":0,"0x002":0,"0x040":0,"0x127":0,"0x158":0,"0x027":0,"0x118":0,"0x119":0,"0x122":0,"0x146":0,"0x147":0,"0x02A":0,"0x02B":0,"0x02C":0,"0x02D":0,"0x138":0,"0x139":0,"0x13A":0,"0x13B":0,"0x13C":0,"0x244":0,"0x0AA":0,"0x0AE":0,"0x228":0,"0x1F9":0,"0x2D2":0,"0x136":0,"0x110":0,"0x121":0,"0x13D":0,"0x258":0,"0x361":0,"0x245":0,"0x0B4":0,"0x168":0,"0x220":0,"0x22A":0,"0x22D":0,"0x241":0,"0x226":0,"0x230":0,"0x3AC":0,"0x390":0,"0x232":0,"0x1F8":0,"0x2A4":0,"0x321":0,"0x111":0,"0x225":0,"0x227":0,"0x322":0,"0x325":0,"0x328":0,"0x32B":0,"0x345":0,"0x36D":0,"0x393":0,"0x6FC":0,"0x33A":0,"0x347":0,"0x112":0,"0x32E":0,"0x660":0,"0x4A1":0,"0x63B":0,"0x4A0":0,"0x4A2":0,"0x64E":0,"0x651":0,"0x679":0,"0x67A":0,"0x68D":0,"0x6FA":0,"0x6FB":0,"0x3B6":0,"0x421":0}
# bus_policy: auto=max-frames
# scoring: {"chatter_penalty_start":40,"chatter_penalty_slope":0.1}
# meta_json: {"timestamp":"2025-09-24T13:49:13.801266","cli_args":{"log_file":"tests/data/known_good.rlog.zst","speed_min":55.0,"speed_max":56.0,"repo_root":null,"deps_dir":null,"install_missing_deps":true,"marker_type":"blinkers","marker_pre":1.5,"marker_post":1.5,"marker_timeout":15.0,"export_csv":true,"export_json":true,"output_dir":"test_export_output","engaged_bit":null,"engaged_bus":null,"engaged_mode":"annotate","engaged_margin":0.5},"input_metadata":{"file_path":"tests/data/known_good.rlog.zst","file_size":8577255,"file_extension":".zst"},"gate_sources":{"main_source":"0x241:B4b5 (MSB)","brake_source":"carState.brakePressed","speed_source":"carState.vEgo"},"bus_selection_policy":"auto=max-frames","analyzer_version":"0.1.0","marker_config":{"marker_type":"blinkers","pre_time":1.5,"post_time":1.5,"timeout":15.0,"enabled":true},"tool_version":"unknown","schema_version":"counts_by_segment.v1","time_origin":"window_start","window_start_abs_s":0.0,"window_end_abs_s":0.0,"window_start_mmss":"00:00.000","window_end_mmss":"00:00.000","main_source":"0x241:B4b5 (MSB)","brake_source":"carState.brakePressed","speed_source":"carState.vEgo","bus_policy":"auto=max-frames","id_bus_map":{"0x0AF":0,"0x002":0,"0x040":0,"0x127":0,"0x158":0,"0x027":0,"0x118":0,"0x119":0,"0x122":0,"0x146":0,"0x147":0,"0x02A":0,"0x02B":0,"0x02C":0,"0x02D":0,"0x138":0,"0x139":0,"0x13A":0,"0x13B":0,"0x13C":0,"0x244":0,"0x0AA":0,"0x0AE":0,"0x228":0,"0x1F9":0,"0x2D2":0,"0x136":0,"0x110":0,"0x121":0,"0x13D":0,"0x258":0,"0x361":0,"0x245":0,"0x0B4":0,"0x168":0,"0x220":0,"0x22A":0,"0x22D":0,"0x241":0,"0x226":0,"0x230":0,"0x3AC":0,"0x390":0,"0x232":0,"0x1F8":0,"0x2A4":0,"0x321":0,"0x111":0,"0x225":0,"0x227":0,"0x322":0,"0x325":0,"0x328":0,"0x32B":0,"0x345":0,"0x36D":0,"0x393":0,"0x6FC":0,"0x33A":0,"0x347":0,"0x112":0,"0x32E":0,"0x660":0,"0x4A1":0,"0x63B":0,"0x4A0":0,"0x4A2":0,"0x64E":0,"0x651":0,"0x679":0,"0x67A":0,"0x68D":0,"0x6FA":0,"0x6FB":0,"0x3B6":0,"0x421":0},"engaged_mode":"annotate","engaged_bit":null,"engaged_bus":null,"engaged_margin_s":0.5,"engaged_intervals_count":0,"scoring":{"chatter_penalty_start":40,"chatter_penalty_slope":0.1},"analysis_id":"00379ad4-8ca6-40c5-bbbd-ebb75da9af43"}
address_hex,bus,pre_count,window_count,post_count,delta,uniq_pre,uniq_window,uniq_post
0x6FC,0,0,62,0,62,0,1,0
0x111,0,0,61,0,61,0,1,0
0x225,0,0,61,0,61,0,1,0
0x227,0,0,61,0,61,0,1,0
0x321,0,0,61,0,61,0,1,0
0x322,0,0,60,0,60,0,1,0
0x325,0,0,60,0,60,0,1,0
0x32B,0,0,60,0,60,0,1,0
0x33A,0,0,54,0,54,0,1,0
0x347,0,0,52,0,52,0,1,0
0x33A,0,0,50,0,50,0,1,0
0x347,0,0,50,0,50,0,1,0
0x112,0,0,32,0,32,0,1,0
0x32E,0,0,32,0,32,0,1,0
0x112,0,0,31,0,31,0,1,0
0x32E,0,0,30,0,30,0,1,0
0x660,0,0,19,0,19,0,1,0
0x660,0,0,18,0,18,0,1,0
0x4A1,0,0,7,0,7,0,1,0
0x63B,0,0,7,0,7,0,1,0
0x4A0,0,0,6,0,6,0,1,0
0x4A0,0,0,6,0,6,0,1,0
0x4A1,0,0,6,0,6,0,1,0
0x4A2,0,0,6,0,6,0,1,0
0x63B,0,0,6,0,6,0,1,0
0x64E,0,0,6,0,6,0,1,0
0x64E,0,0,6,0,6,0,1,0
0x651,0,0,6,0,6,0,1,0
0x679,0,0,6,0,6,0,1,0
0x679,0,0,6,0,6,0,1,0
0x67A,0,0,6,0,6,0,1,0
0x67A,0,0,6,0,6,0,1,0
0x68D,0,0,6,0,6,0,1,0
0x6FA,0,0,6,0,6,0,1,0
0x6FA,0,0,6,0,6,0,1,0
0x6FB,0,0,6,0,6,0,1,0
0x6FB,0,0,6,0,6,0,1,0
0x651,0,0,4,0,4,0,1,0
0x68D,0,0,4,0,4,0,1,0
0x3B6,0,0,3,0,3,0,1,0
0x421,0,0,3,0,3,0,1,0
0x421,0,0,3,0,3,0,1,0
